Municipality,Establishment Count,Terminal Count,Amount Played,Amount Won,Nti Tax,State Share,Municipality Share,Population
Belvidere,31,153,89217672.06,81639580.96,2387799.24,2008882.74,378916.5,"25,319"
Minooka,9,40,17606984.86,16167406.7,453764.52,381773.72,71990.8,"11,291"
North City,1,5,2985014.6,2708140.11,86813.53,72969.78,13843.75,717
Milan,14,65,23076103.29,21029426.05,644070.19,541735.96,102334.23,"5,084"
Wilsonville,2,7,1242743.43,1139871.38,32348.42,27204.76,5143.66,690
Muddy,1,5,1021628.43,952915.78,21326.77,17891.13,3435.64,48
Worth,15,74,58383372.91,53703738.63,1472862.22,1238865.38,233996.84,"10,728"
Marissa,4,19,2565853.9,2361943.04,64040.47,53844.91,10195.56,"1,641"
New Boston,2,9,4119073.34,3793900.2,102124.36,85864.26,16260.1,519
Round Lake Park,5,25,10977225.07,9998225.38,308467.48,259513.4,48954.08,"8,057"
Willowbrook,4,20,12201191.01,11161876.11,326102.96,274136.98,51965.98,"2,082"
El Paso,9,43,12050782.98,11083377.76,304955.5,256583.86,48371.64,"2,820"
Stanford,1,3,881676.5,810285.53,22769.37,19199.82,3569.55,712
Payson,1,4,1969973.72,1792783.82,55937.58,47078.07,8859.51,"1,243"
East Alton,20,96,46204540.08,42437959.21,1187484.68,999151.6,188333.08,"6,099"
Joliet,85,385,214853236.86,197008381.55,5619326.12,4727054.08,892272.04,"147,957"
Benton,14,66,22105510.53,20304249.06,566881.98,476817.08,90064.9,"6,980"
Fairmont City,9,44,21364651.58,19632793.83,545419.66,458822.39,86597.27,"2,519"
West Peoria,15,60,27600099.34,25325445.83,724258.74,610523.97,113734.77,"4,731"
Harrisburg,20,98,49842720.92,45992218.67,1210297.26,1017768.82,192528.44,"8,958"
Spring Valley,11,51,19605508.19,18052091.17,489180.87,411508.61,77672.26,"5,282"
Central City,5,25,19452636.25,17987744.47,461906.54,388660.7,73245.84,"1,259"
Newton,8,33,8803752.49,8061957.3,234479.1,197387.12,37091.98,"2,766"
Cantrall,1,3,1270835.29,1173875.45,30573.6,25725.62,4847.98,223
Aviston,3,10,2530828.25,2334827.64,61920.15,52120.1,9800.05,"2,166"
Mendota,18,80,35929336.12,32917213.38,948911.83,798299.51,150612.32,"7,035"
Greenville,7,31,20232458.29,18587588.25,518176.75,435929.73,82247.02,"6,607"
Prophetstown,5,25,3884821.79,3573335.12,99249.47,83674.84,15574.63,"2,099"
Buckley,3,15,4547688.99,4193404.42,112232.61,94518.28,17714.33,539
Palos Hills,11,51,38950856.8,35853518.41,974665.41,819793.99,154871.42,"17,443"
Tamaroa,3,14,3245012.74,2980785.19,83844.03,70632.53,13211.5,661
Atkinson,1,5,637150.14,574909.44,19567.17,16455.1,3112.07,"1,281"
Auburn,11,50,18490673.95,16967332.07,480590.42,404400.53,76189.89,"4,805"
Magnolia,1,5,649651.27,592491.26,17883.17,15025.15,2858.02,336
Carbondale,26,115,61345133.22,56652744.93,1477283.73,1242658.76,234624.97,"25,846"
Troy,14,65,42680236.77,39019903.24,1153157.54,970132.35,183025.19,"10,356"
Mechanicsburg,4,18,4010023.44,3636413.68,117891.48,99210.7,18680.78,729
Coulterville,4,20,17465977.03,16140926.83,417458.58,351203.99,66254.59,943
Eureka,1,5,1314890.98,1215738.39,30955.28,25997.58,4957.7,"6,114"
Dwight,11,50,23499925.83,21582007.51,602185.19,506286.49,95898.7,"4,130"
Pleasant Plains,2,10,3504780.77,3211937.4,92401.65,77759.22,14642.43,767
Bethany,2,9,1210274.53,1111327.88,31427.65,26480.25,4947.4,"1,204"
River Grove,16,79,59345306.62,54286473.52,1594868.99,1341926.58,252942.41,"10,148"
Pontoon Beach,10,49,54582504.75,49982113.01,1449341.6,1219321.68,230019.92,"5,725"
Elk Grove Village,25,124,102984826.66,94285933.52,2738337.91,2303377.72,434960.19,"32,997"
Collinsville,19,83,46252581.79,42509237.92,1181440.09,994268.94,187171.15,"24,756"
Harmon,1,5,2699471.17,2494478.21,64681.73,54431.94,10249.79,127
Odell,3,11,3502459.24,3209828.25,92087.84,77456.14,14631.7,"1,042"
Orion,5,21,4086502.8,3743511.77,108166.37,91016.72,17149.65,"2,029"
Mascoutah,10,40,32710761.14,30083418.73,826960.95,695590.51,131370.44,"8,007"
Centreville,2,10,8436568.45,7681184.38,238399.37,200630.18,37769.19,"5,059"
Eldorado,6,30,19288233.96,17724406.9,491825.07,413629.07,78196.0,"4,240"
Ipava,3,7,1320196.88,1203807.51,36714.95,30895.47,5819.48,491
Romeoville,18,83,69692421.67,63911231.26,1818754.74,1529690.59,289064.15,"39,702"
Mound City,1,4,860077.88,796199.95,19826.1,16653.76,3172.34,653
Ohlman,1,5,2132534.49,1951566.86,57377.88,48329.49,9048.39,112
Niantic,1,3,981121.69,912987.82,21690.38,18283.68,3406.7,459
Ridge Farm,2,8,2111843.73,1940799.73,53610.74,45058.51,8552.23,904
Paw Paw,1,4,1170560.85,1072688.7,30924.93,26031.27,4893.66,764
Oak Forest,19,91,72657125.16,66845293.9,1828372.64,1537779.1,290593.54,"27,843"
St. David,2,6,2107845.86,1952662.36,49182.64,41423.46,7759.18,634
Canton,12,58,34018184.88,31431571.63,813412.69,684080.4,129332.29,"13,789"
Evergreen Park,1,5,8037199.65,7408691.05,197992.97,166567.49,31425.48,"19,666"
Sibley,1,4,1014711.69,939151.66,23834.82,20056.79,3778.03,300
Sidney,1,5,2626149.41,2427535.26,62378.78,52448.05,9930.73,"1,368"
Forest City,1,5,947363.8,871450.6,24131.76,20336.04,3795.72,325
Elburn,5,24,10400802.94,9583015.0,257760.66,216869.47,40891.19,"5,823"
Richton Park,7,30,13317182.75,12240407.75,337737.76,283896.04,53841.72,"13,629"
North Riverside,17,85,78925215.1,72392638.23,2060097.98,1733462.53,326635.45,"6,813"
Willow Springs,13,60,23990952.08,22144929.51,582762.44,490459.72,92302.72,"5,696"
Bunker Hill,4,20,7232090.02,6659939.77,179075.36,150467.62,28607.74,"1,684"
Crescent City,2,8,1247205.1,1139306.75,34021.04,28626.08,5394.96,634
Melvin,1,5,625166.2,571965.09,17358.02,14697.93,2660.09,516
Crainville,1,5,3276223.1,3000740.46,87374.42,73600.25,13774.17,"1,499"
Robinson,10,47,19259422.79,17605709.54,521161.9,438474.24,82687.66,"7,614"
Kingston Mines,1,3,1038459.37,959342.52,24808.84,20853.01,3955.83,307
Creve Coeur,12,56,26283829.81,24103491.63,688686.69,579665.78,109020.91,"5,493"
Westchester,5,25,35006734.11,32060554.05,927371.89,780062.88,147309.01,"16,573"
Harristown,2,10,8470958.76,7816829.7,205310.99,172604.52,32706.47,"1,143"
Roseville,3,13,1638404.37,1499680.52,43883.93,36947.7,6936.23,923
Hanover Park,9,46,45121394.76,41388801.1,1173870.17,987206.7,186663.47,"38,275"
McCullom Lake,3,16,6154083.91,5614813.21,170083.87,143120.15,26963.72,"1,148"
Menominee,2,6,394445.21,355468.1,12547.97,10599.13,1948.84,235
Buda,1,2,959371.27,884633.99,22915.23,19178.35,3736.88,641
Lanark,3,12,1931249.27,1779189.84,47997.58,40394.55,7603.03,"1,562"
Iroquois,3,8,1582844.68,1455049.95,40428.12,34038.33,6389.79,177
Farmington,7,31,7683594.54,7052952.66,199402.38,167868.54,31533.84,"2,454"
Oblong,2,8,3075078.67,2836268.64,75401.56,63461.04,11940.52,"1,313"
Hazel Crest,1,5,1859049.1,1723792.42,42487.3,35724.44,6762.86,"13,729"
Norridge,10,48,62034603.58,57108144.38,1551248.46,1304923.71,246324.75,"14,888"
Steeleville,5,25,14289717.33,13279699.82,318911.39,268404.81,50506.58,"2,284"
Peoria,67,276,159410124.33,146587592.33,4035750.91,3394599.23,641151.68,"114,512"
Bay View Gardens,1,5,1188316.68,1089993.04,30944.16,26027.38,4916.78,408
Hudson,3,9,681103.84,629372.59,15519.53,12932.96,2586.57,"2,073"
Alton,34,146,87530511.33,80438738.66,2232750.83,1878157.79,354593.04,"26,884"
Pekin,39,184,104608428.77,96177429.78,2647617.14,2226056.91,421560.23,"33,371"
Marseilles,10,46,20828585.29,19196629.54,513381.14,431772.05,81609.09,"5,088"
Elizabeth,3,10,2734597.21,2509077.1,70724.61,59448.51,11276.1,819
Waverly,5,25,8153056.85,7478346.67,212359.81,178620.08,33739.73,"1,286"
Freeburg,5,25,15308225.64,14106738.33,380812.83,320738.36,60074.47,"4,254"
Trenton,2,10,5278178.86,4876712.59,126125.63,106052.12,20073.51,"2,637"
Grayville,6,30,20758857.81,19043578.79,539872.13,454105.71,85766.42,"1,728"
Albany,2,7,2030709.6,1855397.39,55473.53,46707.84,8765.69,979
Shipman,2,8,1311883.54,1198545.02,35445.12,29778.16,5666.96,624
Lebanon,8,35,17459355.41,16037430.36,449697.56,378599.68,71097.88,"4,256"
Tremont,4,20,4806242.7,4432865.33,117845.5,99176.55,18668.95,"2,099"
Silvis,10,47,25850174.89,23607081.76,706053.94,593898.65,112155.29,"7,553"
Calumet Park,13,57,51515071.57,47199490.92,1361847.33,1146063.03,215784.3,"8,442"
Melrose Park,29,133,95896445.82,87470580.1,2656598.34,2235300.5,421297.84,"25,311"
Orland Hills,4,20,27886123.4,25667605.1,695819.15,584885.64,110933.51,"7,181"
Johnsburg,12,59,30739015.53,28063588.55,843029.79,709252.44,133777.35,"6,333"
Carlinville,12,54,24729210.3,22696539.41,641930.58,540295.94,101634.64,"5,610"
Royal,1,3,498282.19,452420.95,14607.75,12314.68,2293.07,"8,057"
Dowell,1,5,3473061.96,3226659.03,77537.19,65216.89,12320.3,473
Meredosia,3,15,5354584.58,4921032.13,136608.85,114931.05,21677.8,829
Braceville,1,5,1809579.55,1658326.0,47506.78,39944.08,7562.7,779
Godfrey,11,51,25141149.34,23166183.85,622419.51,523667.04,98752.47,"17,685"
Watseka,12,56,22971959.51,21023349.33,615551.26,518119.9,97431.36,"5,202"
Heyworth,4,19,9077134.69,8355162.36,228271.81,192173.12,36098.69,"3,164"
Monmouth,13,55,18188117.34,16611489.59,494740.43,415903.53,78836.9,"9,189"
Hardin,2,6,1785916.83,1645263.68,43924.7,36891.91,7032.79,759
Woodstock,21,96,59639828.4,54621326.93,1589536.73,1338606.1,250930.63,"25,198"
Montrose,1,5,3619614.52,3328013.95,91578.76,76998.64,14580.12,244
Colp,1,5,689312.0,621135.77,22463.32,19054.51,3408.81,318
Tilden,1,5,2713401.8,2492936.62,69333.53,58310.28,11023.25,885
Lynwood,14,70,56358020.34,51921574.84,1399460.02,1177629.27,221830.75,"9,316"
Delavan,3,11,2294915.68,2101630.91,61135.21,51470.83,9664.38,"1,668"
Davis,2,8,2191841.49,2022260.5,53321.95,44842.85,8479.1,"22,126"
Clay City,2,8,4291227.19,3943760.32,109415.82,92042.44,17373.38,849
New Canton,3,7,0.0,0.0,0.0,0.0,0.0,363
Aurora,32,153,115968729.9,106356172.64,3029233.08,2548587.64,480645.44,"200,660"
West City,4,20,20801205.55,19142029.98,521421.73,438454.29,82967.44,772
Somonauk,3,15,7828216.83,7179876.13,204904.37,172481.23,32423.14,"2,152"
Crestwood,37,185,121922032.94,111940783.28,3147139.96,2648063.1,499076.86,"10,901"
Bluffs,1,5,3427123.16,3142960.31,89281.25,75073.0,14208.25,759
Rockton,8,35,14446231.49,13208036.39,391035.47,329118.25,61917.22,"7,692"
Princeton,18,79,34910819.84,32073778.61,893203.48,751342.91,141860.57,"7,662"
Thornton,2,10,7141911.83,6532179.68,192192.89,161706.19,30486.7,"2,478"
North Utica,7,32,17269489.54,15923944.72,424338.13,357057.33,67280.8,"1,373"
Warren,4,19,5097618.67,4684422.41,130879.5,110218.58,20660.92,"1,198"
Bartlett,17,79,58140549.33,53328853.54,1515497.65,1274907.12,240590.53,"41,316"
Winnebago,2,10,834771.04,767965.97,22045.65,18705.41,3340.24,"3,425"
Sauk Village,8,40,11982770.47,10983937.39,319346.88,269401.5,49945.38,"10,516"
Wood River,15,64,37433022.81,34347781.21,970841.25,816576.62,154264.63,"10,234"
Greenview,2,9,3033074.28,2760674.02,85925.55,72305.47,13620.08,906
Rock Falls,23,111,59758294.07,54701107.09,1593170.57,1340307.42,252863.15,"8,911"
Franklin Park,12,56,24574789.01,22480865.5,657545.8,552849.27,104696.53,"18,138"
Grantfork,2,4,88674.87,81541.79,2353.33,1996.69,356.64,343
Mason City,5,23,7377945.54,6784712.83,186762.37,157097.31,29665.06,"2,364"
Kane,1,4,1269014.32,1167576.9,31887.52,26814.33,5073.19,285
Millstadt,8,33,15446015.51,14278866.24,367448.7,309089.46,58359.24,"3,915"
Princeville,2,9,3300736.1,3037360.96,82884.85,69714.54,13170.31,"2,073"
Cedar Point,2,8,3099446.56,2842716.8,81646.13,68809.64,12836.49,296
Blue Island,32,152,84388413.8,77295845.71,2233912.27,1879274.74,354637.53,"22,636"
Atwood,2,10,3235380.04,2981743.14,79628.54,66946.66,12681.88,"1,004"
Clinton,13,65,39932939.63,36778968.3,993844.45,836141.73,157702.72,"7,126"
Henry,6,29,8351050.49,7684179.87,209159.95,175814.68,33345.27,792
Jacksonville,33,151,73154658.58,66972822.26,1943093.45,1633993.26,309100.19,"18,914"
Rockford,103,492,418171941.39,383279168.33,10972516.43,9227812.49,1744703.94,"147,881"
Coal Valley,6,26,5061206.71,4598732.82,146226.63,123102.72,23123.91,"3,635"
Stillman Valley,5,24,11145882.66,10285753.12,270734.3,227727.65,43006.65,"1,091"
Mazon,1,5,2277501.03,2124442.24,48160.91,40507.9,7653.01,"1,002"
Rantoul,18,87,45484890.41,41696603.21,1192076.5,1002654.26,189422.24,"13,222"
Pana,14,67,33654559.62,30981111.77,841587.38,707909.94,133677.44,"5,478"
Neoga,3,13,6256080.59,5753836.12,157984.64,132872.28,25112.36,"1,817"
Wapella,2,10,4482778.66,4129535.33,111013.13,93349.8,17663.33,600
Wyoming,4,14,5175796.61,4750570.47,134733.65,113472.25,21261.4,"1,365"
Ashmore,4,20,6825153.24,6311975.91,161621.0,135956.05,25664.95,814
Hanna City,3,13,4858248.67,4482040.35,118642.91,99828.21,18814.7,"1,268"
Colfax,2,7,1646226.79,1498547.27,46521.88,39137.88,7384.0,"1,135"
Donnellson,1,4,3269024.82,3020964.09,78060.66,65657.59,12403.07,172
Toledo,2,10,3417870.51,3129671.6,90919.37,76509.3,14410.07,"1,322"
Roscoe,20,97,87849391.44,80447175.81,2332668.37,1962538.29,370130.08,"10,575"
Assumption,4,20,4784224.73,4403629.71,119973.47,100943.54,19029.93,"1,142"
Morton Grove,9,45,76477356.08,70337092.7,1932586.64,1625555.1,307031.54,"23,256"
Carlyle,12,53,16546909.82,15155352.44,440064.04,370463.64,69600.4,"3,285"
Fisher,2,8,4300959.28,3954073.98,108983.47,91639.13,17344.34,"1,952"
Towanda,1,5,2422441.83,2256711.05,52226.14,43939.56,8286.58,491
Pinckneyville,7,33,15130117.52,13954400.92,371348.13,312559.79,58788.34,"5,463"
Cornell,1,5,52792.05,47155.97,1859.95,1578.14,281.81,444
Posen,10,50,28982117.38,26536091.38,772047.36,649745.61,122301.75,"6,211"
South Pekin,2,8,1321605.26,1206257.23,37619.9,31852.49,5767.41,"1,018"
Salem,19,93,46576364.55,43051969.02,1108634.51,932410.24,176224.27,"7,100"
Waterman,2,9,1631368.12,1479979.34,47460.77,39891.27,7569.5,"1,567"
Cambridge,3,11,2709079.32,2491491.32,68458.66,57577.75,10880.91,"2,238"
Onarga,1,4,2110344.8,1948184.91,51267.36,43159.05,8108.31,"1,079"
Shannon,1,4,1325480.13,1221870.74,32870.45,27689.9,5180.55,761
Dieterich,2,7,2739919.79,2538163.13,63808.03,53720.17,10087.86,629
Oquawka,5,24,5858348.03,5381971.98,150268.14,126442.91,23825.23,"1,558"
South Roxana,4,18,5862814.77,5392697.51,147721.73,124215.02,23506.71,"2,172"
Hamilton,4,15,13190989.43,12157495.59,325945.88,274271.12,51674.76,"2,875"
Chicago Heights,18,87,59970686.58,54976147.49,1575620.84,1325885.13,249735.71,"30,087"
Rock Island,21,90,43024042.88,39150646.38,1218976.48,1025304.88,193671.6,"38,354"
Waterloo,15,66,34515666.73,31688526.06,891550.14,750184.18,141365.96,"10,268"
Centralia,20,98,62565837.99,57800245.12,1500796.29,1262514.75,238281.54,"12,538"
Justice,22,108,71434230.8,65701389.35,1807681.16,1521034.07,286647.09,"12,919"
Perry,1,5,37101.19,32731.27,1442.13,1223.62,218.51,297
Aledo,6,24,7108013.85,6508086.52,188995.02,158997.96,29997.06,"3,520"
Batchtown,1,5,1222968.35,1121511.55,32109.95,27037.07,5072.88,199
Hamel,3,12,9952164.02,9059352.12,282171.1,237526.72,44644.38,866
Carrollton,8,37,9742631.38,8993231.12,236261.3,198791.02,37470.28,"2,461"
Urbana,22,106,89008170.74,81856173.54,2250889.55,1893286.06,357603.49,"42,375"
Lakemoor,5,25,18876787.32,17238106.66,515590.1,433653.26,81936.84,"6,171"
Sterling,22,104,55045887.8,50255916.94,1509277.83,1269761.7,239516.13,"14,810"
North Chicago,17,83,60234832.64,55192267.19,1591842.18,1339715.43,252126.75,"30,011"
Du Quoin,13,65,29662257.58,27288096.26,748144.75,629435.81,118708.94,"5,818"
Berkeley,6,30,25191231.86,23038456.51,676952.62,569310.9,107641.72,"5,171"
Brookport,1,5,2183811.53,1989451.67,61344.12,51625.84,9718.28,882
Brimfield,3,15,4946728.97,4525946.08,133427.52,112385.71,21041.81,965
East Hazel Crest,2,10,13417689.14,12372188.06,329849.7,277574.57,52275.13,"1,694"
Big Rock,1,4,1575344.22,1434913.15,44195.3,37173.69,7021.61,"1,318"
Dupo,8,37,18451499.29,17011005.03,454956.13,382926.11,72030.02,"3,893"
Yates City,2,9,2312753.96,2112213.03,62885.85,52858.72,10027.13,739
Rockdale,7,28,10289362.1,9376591.71,286891.72,241253.01,45638.71,"1,932"
Kangley,1,3,1459523.15,1357747.47,32074.33,26985.49,5088.84,220
Piper City,3,15,3013942.98,2798237.16,68044.51,57259.21,10785.3,862
Itasca,6,29,19451927.8,17867885.84,499448.87,420246.56,79202.31,"9,042"
Ogden,6,27,9699041.34,8909126.58,248337.48,208840.42,39497.06,760
McClure,1,5,1253965.9,1150577.39,32197.02,27027.54,5169.48,348
Winthrop Harbor,10,47,38428848.4,35236863.56,1005684.51,846083.84,159600.67,"6,767"
Momence,8,34,13640448.93,12527197.85,350515.32,294843.26,55672.06,"3,146"
East Moline,31,154,49709351.19,45207999.5,1419665.78,1194584.02,225081.76,"21,373"
East Dundee,15,72,47254841.5,43188874.64,1283179.08,1079876.1,203302.98,"3,183"
Stewardson,1,5,1510391.66,1400828.89,34738.84,29260.69,5478.15,723
Girard,4,18,6563902.19,5969360.79,187019.73,157292.6,29727.13,"1,862"
Jonesboro,2,10,1847103.01,1680767.08,53265.14,44944.92,8320.22,"1,935"
Sheffield,2,5,1202528.05,1100216.78,32058.69,26940.46,5118.23,826
Lockport,18,85,58668479.27,53947120.46,1488792.27,1252719.86,236072.41,"25,226"
Athens,4,20,8012935.38,7338587.38,212153.72,178434.9,33718.82,"2,105"
Alpha,1,4,124336.31,111367.58,4279.78,3631.33,648.45,555
Markham,14,70,51776605.8,47432392.79,1370670.01,1153449.89,217220.12,"12,600"
Chicago Ridge,25,120,70790118.2,64905214.51,1858193.68,1563945.34,294248.34,"14,254"
Homer Glen,12,55,47966809.91,44276793.94,1162562.58,978055.56,184507.02,"24,467"
Ashland,2,9,2696563.32,2475839.43,69714.78,58678.51,11036.27,"1,367"
Alhambra,2,7,1539472.09,1403153.18,42594.55,35778.57,6815.98,628
Countryside,21,94,75919309.02,69928465.84,1885326.75,1585750.41,299576.34,"5,997"
Beaverville,2,5,1636149.92,1554443.97,27201.12,23115.76,4085.36,340
Clifton,4,17,4861233.85,4475357.58,121448.34,102154.5,19293.84,"1,373"
Potomac,1,5,2077566.12,1910692.97,53240.37,44896.67,8343.7,807
St. Charles,17,79,39574152.03,36373153.38,1008932.38,848871.33,160061.05,"32,772"
Orient,2,9,3227191.69,2947300.46,86931.81,72937.24,13994.57,415
Hampshire,9,44,27181428.67,24965127.58,698034.32,587218.35,110815.97,"5,852"
Mount Carroll,5,20,3858558.58,3530615.07,103167.27,86769.97,16397.3,"1,587"
Lombard,1,5,339112.76,312260.05,8861.41,7518.77,1342.64,"43,904"
Ottawa,43,201,112565526.8,103656570.74,2807590.36,2362135.24,445455.12,"18,701"
Kinmundy,1,4,664246.5,617775.82,14771.78,12448.04,2323.74,904
Nelson,1,5,2062541.62,1883275.41,56757.12,47793.8,8963.32,137
Lyons,20,100,79482027.74,72727815.2,2125019.69,1787302.48,337717.21,"10,566"
Sherman,5,19,13698695.47,12709220.51,311951.5,262476.55,49474.95,"4,440"
Banner,2,8,3042513.3,2806579.07,74542.32,62745.56,11796.76,223
Peoria Heights,11,49,34722642.76,31942660.46,874276.74,735276.17,139000.57,"5,910"
Witt,2,6,731877.79,669746.62,19550.94,16444.37,3106.57,896
Sesser,6,26,8212516.42,7555898.52,206333.21,173498.67,32834.54,"1,737"
Lenzburg,2,8,5478676.97,5053083.32,133307.58,112027.84,21279.74,491
Havana,12,49,19277888.01,17606591.28,527916.9,444353.8,83563.1,"3,232"
Plymouth,1,5,1895781.8,1743825.06,47893.61,40295.75,7597.86,442
Diamond,5,23,21603735.71,19918607.02,531670.01,447410.13,84259.88,"2,707"
Stickney,6,30,17539730.74,16021512.86,481275.16,405359.74,75915.42,"6,732"
Lincoln,20,101,78652628.72,72145374.98,2048196.07,1722828.44,325367.63,"13,738"
Country Club Hills,7,32,13201886.51,12084224.48,351822.86,295939.24,55883.62,"16,801"
Mount Zion,4,19,9011713.97,8268386.81,233824.4,196657.88,37166.52,"5,973"
East Galesburg,2,7,1607239.86,1478938.3,40318.14,33903.02,6415.12,624
Hecker,1,5,1613469.9,1475688.69,43300.87,36411.79,6889.08,537
Junction,1,5,52347.93,46921.78,1790.65,1519.34,271.31,390
Lyndon,3,15,4156858.75,3783387.51,117743.71,99070.09,18673.62,638
Patoka,2,10,4954899.9,4573371.37,121126.75,102050.17,19076.58,623
Griggsville,3,11,3318574.45,3045803.41,86021.66,72383.0,13638.66,"1,465"
Colona,7,32,9150549.87,8305139.43,267197.82,224927.05,42270.77,"4,954"
Hoyleton,1,5,2596345.17,2411580.39,57840.67,48602.31,9238.36,598
Manhattan,7,36,22188036.57,20571990.74,511015.04,430212.38,80802.66,"7,813"
Hampton,3,15,5433567.43,5006244.49,135071.32,113705.15,21366.17,"2,002"
Joy,2,6,1068506.35,975834.79,29244.44,24610.81,4633.63,390
Annawan,4,20,10665018.04,9807133.62,270243.37,227338.9,42904.47,895
Bellevue,4,20,8742954.1,8024973.22,226828.46,190929.3,35899.16,"1,847"
North Aurora,7,33,25674740.54,23588383.82,655337.49,551001.79,104335.7,"17,653"
Percy,2,10,2880048.02,2657085.16,70521.89,59370.66,11151.23,945
Victoria,1,5,1633154.7,1504617.54,40425.93,33997.24,6428.69,289
Marshall,7,36,36923328.08,33818496.68,978451.41,823209.44,155241.97,"3,401"
Hurst,3,14,1745574.88,1600031.81,45847.23,38570.01,7277.22,846
Charleston,22,96,44439702.19,41033691.72,1075348.17,905038.76,170309.41,"20,632"
Matteson,13,61,37774810.61,34580541.95,1002724.16,843008.74,159715.42,"19,336"
Buffalo,1,3,703907.86,643275.83,19222.99,16191.36,3031.63,560
New Douglas,1,4,1308865.48,1205820.15,32395.74,27243.43,5152.31,344
Port Byron,3,15,5131291.41,4726933.01,127531.12,107313.16,20217.96,"1,802"
Erie,2,10,4411331.08,4039524.92,117210.63,98615.16,18595.47,"1,438"
Bryant,1,4,1371142.4,1263272.36,33387.82,27994.28,5393.54,230
University Park,4,18,13022695.4,11981502.04,327947.75,275886.76,52060.99,"7,115"
Irving,1,4,677596.6,624919.12,16258.52,13673.53,2584.99,326
Huntley,14,67,43792937.29,40238307.48,1117857.55,940118.66,177738.89,"26,486"
Granite City,23,106,57283502.59,52756588.93,1421547.11,1195194.51,226352.6,"29,001"
Morrisonville,3,16,3214127.02,2953249.08,82714.97,69670.96,13044.01,"1,167"
Byron,9,41,17594318.73,16148170.72,455324.22,383017.15,72307.07,"3,608"
Vandalia,18,87,47054044.87,43294610.09,1181690.16,993717.54,187972.62,"6,914"
Savoy,6,27,23044879.82,21238415.76,570264.6,479940.91,90323.69,"8,654"
Channahon,8,39,27007505.26,24656420.82,741289.35,623734.49,117554.86,"12,718"
Oak Grove,1,5,5585633.51,5076996.84,160033.36,134600.53,25432.83,589
Roselle,12,60,54734430.34,50298863.08,1396668.78,1174886.06,221782.72,"22,873"
Pontiac,21,103,56097956.35,51658595.93,1399785.96,1177796.69,221989.27,"11,804"
Essex,3,11,3010823.83,2785823.76,70741.26,59491.2,11250.06,899
Worden,3,12,1993261.65,1829201.23,51182.29,42979.18,8203.11,"1,106"
Cisne,2,10,2823307.3,2593553.86,71840.85,60353.05,11487.8,598
East Dubuque,14,68,34940352.94,32010447.32,923577.38,777078.59,146498.79,"1,557"
Oakbrook Terrace,14,70,76298257.61,70232063.89,1917598.15,1614232.97,303365.18,"2,912"
Orland Park,19,92,38523314.1,35417696.81,984229.69,828947.38,155282.31,"59,100"
Little York,1,3,721970.11,660819.13,19076.24,16018.66,3057.58,305
Milford,3,14,2267038.29,2061888.23,64619.53,54361.91,10257.62,"5,084"
Washington Park,4,19,8468792.72,7790445.4,213518.57,179596.34,33922.23,"3,962"
Gillespie,6,25,6569338.64,6020865.99,173116.45,145692.59,27423.86,"3,045"
Rolling Meadows,7,36,16424591.5,15006276.58,454124.6,383197.95,70926.65,"23,229"
Hutsonville,1,5,3231898.39,2947833.13,89910.54,75707.26,14203.28,503
Thayer,3,13,3013472.39,2737511.31,86863.88,73065.66,13798.22,713
Hillsboro,9,38,13675648.83,12616517.87,333024.81,280068.03,52956.78,"6,840"
Ridgway,2,10,4577384.62,4263392.55,98465.63,82766.05,15699.58,877
Metamora,3,14,4837026.95,4475869.38,114750.26,96692.29,18057.97,"3,835"
Streamwood,17,84,57198063.48,52372397.92,1526824.19,1285539.34,241284.85,"40,413"
Coalton,1,4,1911289.71,1765116.16,46045.58,38736.88,7308.7,334
Leland,1,5,1307271.15,1196941.43,34869.84,29353.32,5516.52,859
Norris City,4,17,5256271.64,4820809.28,137525.05,115751.89,21773.16,"1,216"
Venice,3,14,2383867.55,2199487.58,58399.63,49179.54,9220.09,"2,128"
Streator,32,153,71750711.68,65978091.3,1817037.74,1528393.45,288644.29,"12,791"
St. Joseph,1,4,3072769.37,2824611.2,77634.81,65226.62,12408.19,"4,424"
Casey,5,22,11176886.47,10301526.22,276944.87,233176.85,43768.02,"2,518"
Prospect Heights,13,62,71741509.13,65838094.47,1854970.66,1559793.93,295176.73,"16,250"
Lexington,4,18,3572725.84,3255487.31,99946.58,84084.51,15862.07,"1,890"
Sleepy Hollow,2,10,4388608.64,4009995.34,119573.32,100642.63,18930.69,"3,319"
Edgewood,4,16,4268774.31,3939590.86,103135.75,86676.45,16459.3,536
Elwood,1,4,1645372.59,1517941.5,40225.45,33853.57,6371.88,"2,396"
Barry,6,23,9092458.74,8317224.01,244123.5,205372.91,38750.59,"1,552"
DeKalb,21,100,62239626.17,57018748.42,1648032.29,1386983.89,261048.4,"42,839"
Mount Auburn,2,10,2029749.22,1861500.89,53255.8,44843.34,8412.46,562
Wyanet,2,9,2351524.79,2163341.2,59284.09,49874.86,9409.23,"1,024"
Granville,5,18,4747515.73,4381852.29,115466.41,97183.17,18283.24,"1,232"
Liberty,1,5,278380.43,253622.71,7843.07,6605.17,1237.9,412
Rushville,6,24,8953756.65,8241133.35,224979.01,189348.81,35630.2,"2,841"
Mokena,19,93,86849593.2,79983870.57,2168153.87,1824768.33,343385.54,"20,720"
Stone Park,12,57,32345325.18,29437627.85,915971.5,770586.06,145385.44,"4,923"
