Municipality,Establishment Count,Terminal Count,Amount Played,Amount Won,Nti Tax,State Share,Municipality Share,Population
Tuscola,10,45,25365276.17,23389653.63,623045.56,524261.62,98783.94,"4,630"
Neponset,2,9,2818990.63,2609728.95,65846.59,55383.44,10463.15,539
Hickory Hills,18,85,70877592.23,64920912.28,1876561.24,1578722.43,297838.81,"14,018"
Olney,12,54,35042151.13,32249574.35,879781.45,740148.67,139632.78,"8,808"
Park City,2,10,8774184.32,8017102.15,238884.14,201030.01,37854.13,"7,456"
Cerro Gordo,2,9,1463997.08,1346597.62,37502.57,31632.59,5869.98,"1,371"
Mendon,3,15,5174963.01,4739859.79,137047.65,115291.03,21756.62,915
Norwood,1,5,2201499.39,2018325.64,57556.62,48397.89,9158.73,430
Chapin,1,5,1456845.61,1344471.16,35257.18,29638.4,5618.78,458
Rankin,2,6,772836.62,708681.02,20165.63,16956.71,3208.92,563
Arcola,3,13,7247983.28,6724248.7,164477.67,138290.48,26187.19,"2,680"
Andalusia,1,4,1160465.12,1057702.62,32518.04,27379.89,5138.15,"1,113"
St. Anne,2,7,1641650.33,1497828.36,45204.11,38012.95,7191.16,"1,361"
Sullivan,7,32,9593350.08,8807060.11,248392.06,209077.38,39314.68,"4,538"
Addison,23,111,88623932.26,80762581.15,2476573.63,2083474.53,393099.1,"37,089"
Mount Carmel,10,44,20230344.28,18554387.26,528820.5,445022.37,83798.13,"7,040"
Chandlerville,3,10,2155741.05,1964732.29,60145.6,50595.13,9550.47,452
Junction City,1,4,1154637.85,1069521.83,26783.46,22527.68,4255.78,539
Clayton,1,4,721310.66,661957.7,18730.04,15762.37,2967.67,634
Round Lake,9,45,33751275.16,30950155.47,882084.69,742027.39,140057.3,"18,489"
Lee,1,5,985924.95,897128.91,28111.85,23672.03,4439.82,335
Chester,12,54,28820278.68,26485499.56,735015.37,618274.86,116740.51,"8,410"
Herrin,25,116,53394495.79,49240678.5,1307542.76,1099846.41,207696.35,"12,869"
Taylorville,36,174,73171573.4,67069131.45,1924138.37,1618992.94,305145.43,"10,964"
Cahokia,17,75,25303700.25,23288742.11,635545.89,534792.34,100753.55,"14,271"
Saybrook,1,4,833446.6,763267.76,22038.45,18529.45,3509.0,775
Columbia,10,44,27044449.69,24965756.31,655454.58,551515.75,103938.83,"10,503"
McCook,6,29,19762760.05,18176834.51,499803.51,420506.33,79297.18,261
Caseyville,17,73,44571066.32,40869888.45,1163035.04,977964.32,185070.72,"4,018"
Moline,39,167,79118739.65,72105213.14,2208542.51,1857856.86,350685.65,"42,364"
Ava,2,7,1880909.07,1737231.61,45054.45,37870.42,7184.03,602
Winchester,4,18,6075528.39,5628783.82,141930.85,119593.42,22337.43,"1,898"
Virginia,6,24,8939024.93,8199232.2,233087.26,196097.44,36989.82,"1,323"
Ina,1,5,7676008.31,6951480.6,227519.15,191290.83,36228.32,"2,495"
Harvel,1,5,702914.06,643139.6,18739.85,15751.13,2988.72,235
Wenona,6,26,8490209.82,7822106.37,210145.47,176734.87,33410.6,"1,026"
Virden,5,22,10381150.39,9551670.57,261716.46,220234.6,41481.86,"3,506"
Thomasboro,1,5,1698110.5,1569091.56,40405.05,33954.03,6451.02,"1,061"
Valmeyer,1,4,571097.66,528516.8,13407.62,11278.53,2129.09,"1,320"
Westfield,1,3,34694.99,31574.51,892.0,743.33,148.67,728
Claremont,1,4,930570.95,854492.56,23963.51,20159.55,3803.96,230
Mount Sterling,4,16,4447299.37,4063020.03,121935.39,102721.35,19214.04,"2,227"
Astoria,1,3,824554.37,762611.18,19621.3,16524.14,3097.16,907
Ohio,2,8,1740750.32,1595786.18,45780.65,38532.11,7248.54,513
Bushnell,5,20,6894862.57,6332776.32,176393.43,148281.7,28111.73,"2,776"
Lansing,16,76,54956811.77,50551947.53,1389196.75,1168951.89,220244.86,"28,141"
Hinckley,4,17,6304131.1,5789907.24,162527.65,136816.24,25711.41,"2,083"
Shiloh,5,25,24627909.99,22525447.93,665040.0,559908.15,105131.85,"13,250"
McHenry,38,180,117842716.45,108030386.98,3093422.39,2602793.37,490629.02,"26,740"
Kewanee,24,100,43015999.43,39642116.21,1061359.64,892663.03,168696.61,"12,570"
Table Grove,2,6,1129760.62,1025069.82,33350.78,28116.26,5234.52,501
Jerome,8,40,24018441.49,21899295.34,667386.65,561427.24,105959.41,"1,883"
Braidwood,8,36,10500346.2,9624949.37,275900.93,232130.98,43769.95,"6,284"
Gridley,1,5,1386605.34,1270115.4,36636.27,30811.72,5824.55,"1,577"
Orangeville,3,13,2927401.28,2688733.9,75020.71,63084.65,11936.06,803
Monee,9,44,35850500.53,32826881.94,951249.7,800073.28,151176.42,"5,124"
Fox River Grove,8,36,23384387.9,21451724.15,606097.56,509462.93,96634.63,"4,899"
Dixmoor,2,10,6132609.72,5605277.36,165722.57,139355.38,26367.19,"3,657"
Westville,6,30,18700304.95,17125618.9,496603.37,417867.51,78735.86,"3,288"
Grant Park,2,8,2320825.89,2117596.45,64083.89,53919.62,10164.27,"1,313"
Hartford,4,18,7963918.73,7358767.04,190386.28,160127.56,30258.72,"1,688"
Arenzville,1,2,339991.27,309975.37,9439.09,7938.27,1500.82,465
Oswego,12,60,47132293.73,43242176.24,1225054.24,1030541.82,194512.42,"34,383"
Galesburg,33,156,90077254.79,82364451.7,2426782.01,2041088.18,385693.83,"30,986"
Aroma Park,4,16,9284583.27,8496941.85,249093.05,209704.72,39388.33,813
Long Creek,3,15,14924571.67,13756933.43,367278.8,308896.68,58382.12,"1,548"
Decatur,90,440,375209678.8,343434636.21,10006549.65,8417774.76,1588774.89,"72,969"
New Haven,1,5,2047646.03,1900316.49,46227.12,38860.58,7366.54,356
Dolton,14,62,47112553.4,43114663.7,1259756.89,1059852.88,199904.01,"22,927"
West Frankfort,12,54,28519690.14,26190948.34,733298.07,616844.35,116453.72,"7,905"
Scales Mound,1,4,1477765.91,1354903.69,38832.21,32689.09,6143.12,493
Atlanta,4,16,4483891.68,4155989.39,103407.63,87012.45,16395.18,"1,965"
Loraine,1,4,1609645.72,1475462.96,42394.67,35685.49,6709.18,331
Blandinsville,3,9,2656049.88,2450922.12,64532.92,54275.92,10257.0,685
Sandoval,7,33,8481546.14,7853317.52,196965.3,165553.49,31411.81,"1,269"
Broadview,5,24,20310753.04,18542212.26,556400.81,467972.41,88428.4,"7,829"
Brookfield,15,71,38441444.69,35186186.24,1025872.14,863108.36,162763.78,"18,858"
Marengo,13,63,25127897.06,22994987.05,672644.52,565997.69,106646.83,"8,175"
Danville,29,133,74486885.27,68242818.92,1963420.83,1651207.92,312212.91,"31,554"
Dongola,1,5,2251651.66,2032611.45,69169.5,58217.48,10952.02,799
Lake Zurich,15,74,57407203.05,52715276.02,1478978.67,1244355.84,234622.83,"19,970"
Farmer City,6,31,9263398.33,8430728.49,262753.35,221118.4,41634.95,"1,926"
Darien,9,43,51580277.21,47188931.07,1385999.31,1166412.39,219586.92,"22,126"
Ullin,1,4,108324.22,104051.39,1410.01,1196.37,213.64,444
Sheridan,3,13,5694267.8,5232120.13,145282.3,122174.8,23107.5,"2,628"
Deer Grove,1,5,272691.31,247100.89,8324.63,7045.09,1279.54,57
Bloomington,58,271,201987515.4,185379330.74,5229414.53,4398988.96,830425.57,"78,331"
Carthage,3,13,4339362.77,3968699.49,117208.45,98675.1,18533.35,"2,466"
Cooksville,1,5,2015264.89,1867762.2,46440.89,39065.71,7375.18,169
